school,sex,age,address,Astatus,status,guardian,failures,P(out of 5),absences,mode,Final,paid,activities
Loyola,F,19,U,yes,B,mother,0,2,6,acrylic,5,no,no
Loyola,F,18,U,yes,I,father,0,4,4,watercolor,10,no,no
Loyola,F,17,U,yes,I,mother,3,2,10,watercolor,2,yes,no
Loyola,F,15,U,yes,I,mother,0,4,2,watercolor,10,yes,yes
Loyola,F,15,U,yes,I,father,0,4,4,watercolor,10,yes,no
Loyola,M,16,U,yes,I,mother,0,4,10,watercolor,10,yes,yes
Loyola,M,16,U,yes,B,mother,0,2,0,watercolor,5,no,no
Loyola,F,16,U,yes,B,mother,0,2,6,watercolor,5,no,no
Loyola,M,17,U,yes,B,mother,0,2,0,watercolor,5,yes,no
Loyola,M,15,U,yes,B,mother,0,2,0,watercolor,5,yes,yes
Loyola,F,15,U,yes,B,mother,0,2,0,watercolor,5,yes,no
Loyola,F,15,U,yes,B,father,0,2,4,watercolor,5,no,yes
Loyola,M,15,U,yes,B,father,0,2,2,watercolor,5,yes,yes
Loyola,M,15,U,yes,B,mother,0,2,2,watercolor,5,yes,no
Loyola,M,15,U,yes,B,other,0,2,0,watercolor,5,no,no
Loyola,F,15,U,yes,B,mother,0,2,4,watercolor,5,no,no
Loyola,F,16,U,no,B,mother,0,2,6,watercolor,5,yes,yes
Loyola,F,16,U,no,B,mother,0,2,4,watercolor,5,no,yes
Loyola,M,16,U,no,B,mother,3,2,16,watercolor,2,no,yes
Loyola,M,17,U,no,B,father,0,2,4,watercolor,5,yes,yes
DBMS,M,16,U,no,B,mother,0,2,0,watercolor,5,no,no
DBMS,M,15,U,yes,B,father,0,2,0,acrylic,5,yes,no
DBMS,M,15,U,yes,B,mother,0,2,2,acrylic,5,no,yes
DBMS,M,16,U,yes,B,mother,0,2,0,acrylic,5,no,yes
DBMS,F,16,R,yes,B,mother,0,2,2,acrylic,5,yes,yes
DBMS,F,15,U,no,B,mother,3,2,14,acrylic,2,yes,no
DBMS,M,16,U,no,B,mother,0,2,2,acrylic,5,yes,no
DBMS,M,15,U,yes,B,mother,0,2,4,acrylic,5,yes,no
DBMS,M,15,U,yes,B,mother,0,2,4,acrylic,5,no,yes
DBMS,M,16,U,yes,B,mother,0,2,16,acrylic,5,yes,yes
DBMS,M,16,U,yes,B,mother,0,2,0,acrylic,5,yes,no
DBMS,M,15,U,yes,B,mother,0,2,0,acrylic,5,no,yes
DBMS,M,15,R,yes,B,mother,0,2,0,acrylic,5,no,yes
DBMS,M,15,U,yes,B,mother,0,2,0,acrylic,5,no,yes
DBMS,M,15,U,yes,B,mother,0,2,0,acrylic,5,yes,no
DBMS,F,16,U,yes,B,father,0,2,0,acrylic,5,no,yes
DBMS,M,15,U,no,B,mother,0,4,2,acrylic,10,no,yes
DBMS,M,15,R,yes,B,mother,0,4,7,acrylic,10,no,yes
DBMS,F,16,R,no,B,mother,0,4,2,acrylic,10,yes,yes
DBMS,F,15,R,yes,B,mother,0,4,8,acrylic,10,yes,yes
DBMS,F,15,U,yes,B,mother,1,4,25,acrylic,10,no,yes
DBMS,M,16,U,yes,B,other,0,4,8,watercolor,10,no,no
DBMS,M,15,U,yes,B,father,0,4,2,watercolor,10,no,yes
DBMS,M,15,U,yes,B,father,0,4,0,watercolor,10,no,no
DBMS,F,15,U,yes,B,father,1,4,14,watercolor,10,no,yes
DBMS,F,16,U,yes,B,mother,0,4,8,watercolor,10,yes,yes
DBMS,F,15,U,yes,B,mother,0,4,12,watercolor,10,no,no
DBMS,M,16,U,yes,B,mother,0,4,4,watercolor,10,no,yes
DBMS,M,16,U,yes,B,mother,0,4,2,watercolor,10,yes,no
